,user,text,favorite_count,retweet_count,created_at
49,elonmusk,"@tunguz Just tap on the @Grok symbol to analyze anything!
https://t.co/lRJZt9N5Qh",3865,129,2025-04-20 16:07:29+00:00
50,elonmusk,@amuse Wow,1247,87,2025-04-20 16:05:40+00:00
51,elonmusk,@amuse 💯,1300,103,2025-04-20 15:58:59+00:00
52,elonmusk,"@amuse I don’t play golf, but a nice walk in what is essentially a beautiful park is still great",4058,192,2025-04-20 15:56:16+00:00
53,elonmusk,@SnoopDogg 😂❤️,1679,95,2025-04-20 15:54:20+00:00
54,elonmusk,@JDVance You too!,6076,183,2025-04-20 15:46:05+00:00
55,elonmusk,@GuntherEagleman Insane!,2265,222,2025-04-20 15:45:21+00:00
56,elonmusk,@cb_doge Let’s find out!,2576,187,2025-04-20 14:24:44+00:00
57,elonmusk,Happy Easter!,499896,36351,2025-04-20 14:04:29+00:00
58,elonmusk,History of slavery https://t.co/EBZXFzn3SW,43286,8907,2025-04-20 06:42:11+00:00
59,elonmusk,@GuntherEagleman 😂,4495,178,2025-04-20 06:01:26+00:00
60,elonmusk,"@TheFigen_ Beautiful, but their call is rather strident",1045,75,2025-04-20 05:58:25+00:00
61,elonmusk,RT @Rothmus: 💯 https://t.co/C78HuNJ0NE,0,9607,2025-04-20 05:56:03+00:00
62,elonmusk,"True 
 https://t.co/6zQWVO8rWB",153348,27033,2025-04-20 05:55:02+00:00
63,elonmusk,"RT @DefiyantlyFree: According to the Migration Policy Institute and ACLU, approximately 75% of deportations under the Obama administration…",0,8187,2025-04-20 05:54:09+00:00
64,elonmusk,"RT @MarioNawfal: 🚨ELON: GROK 3 CAN DEVELOPS CREATIVE SOLUTIONS FOR BUILDING ORIGINAL VIDEO GAMES

""If you ask an AI to create a game like T…",0,1283,2025-04-20 05:52:29+00:00
65,elonmusk,"RT @teslaownersSV: ""Elon Musk hired DOGE wizards—like the guy who used AI to read the burnt scroll from Pompeii. These are exactly the kind…",0,2979,2025-04-20 05:51:19+00:00
66,elonmusk,Advanced cybernetics are real https://t.co/w3nPfWBHZJ,91106,16487,2025-04-20 05:50:35+00:00
67,elonmusk,RT @Tesla: ❤️,0,1890,2025-04-20 05:38:00+00:00
68,elonmusk,"@DefiantLs If propaganda was illegal, she’d be in big trouble 😂",4285,339,2025-04-20 05:37:21+00:00
69,elonmusk,@unlimited_ls She committed a hate crime,1396,108,2025-04-20 05:33:21+00:00
70,elonmusk,"RT @ElonClipsX: Kevin O'Leary: The government drips with fat. Let Elon do his thing – there's nobody like him.

“I'm okay with [Elon going…",0,4577,2025-04-20 05:30:21+00:00
71,elonmusk,Try @Grok vision https://t.co/af5GHZT7JD,47468,9204,2025-04-20 05:28:31+00:00
72,elonmusk,"RT @ScottPresler: There are 8 states that automatically send out mail-in ballots to EVERY voter:

▪️California
▪️Colorado
▪️Hawaii
▪️Nevada…",0,18529,2025-04-20 05:26:00+00:00
73,elonmusk,It’s awesome https://t.co/Sc1xhJbotE,39065,10538,2025-04-20 03:23:35+00:00
74,elonmusk,"RT @MarioNawfal: 🚨🇦🇷MILEI’S “CRAZY” PLAN WORKED—ARGENTINA’S PAYCHECKS JUST HIT A 6-YEAR HIGH

Private sector wages in Argentina just spiked…",0,3214,2025-04-20 02:28:32+00:00
75,elonmusk,@TobyPhln That’s promising,935,63,2025-04-20 01:25:55+00:00
76,elonmusk,RT @WarlordDilley: I believe @ElonMusk was right when he said that Democrats were importing illegals as a means of having a permanent major…,0,9920,2025-04-20 00:06:53+00:00
77,elonmusk,Filing a deliberately false whistleblower claim is a serious crime https://t.co/ObDs0Ox0WC,177668,45252,2025-04-20 00:06:10+00:00
78,elonmusk,Hmm https://t.co/k5kNcAjP1u,356024,86780,2025-04-19 23:56:44+00:00
79,elonmusk,"RT @WallStreetApes: Dave Ramsey says 100% of smart people support Elon Musk’s DOGE

“100% of the intelligent human beings walking around re…",0,10450,2025-04-19 23:55:44+00:00
80,elonmusk,RT @tesla_na: Imagine not having to breathe in fumes in a parking garage because all cars are electric,0,1485,2025-04-19 23:55:00+00:00
81,elonmusk,"RT @cb_doge: ""If somebody has lost their arms or legs, we can actually attach an Optimus arm or leg during the Neuralink implant so that th…",0,5665,2025-04-19 23:54:52+00:00
82,elonmusk,"RT @Starlink: Starlink's high-speed, low-latency internet enables live streaming, even in the most extreme conditions 🛰️🚁",0,2175,2025-04-19 22:36:40+00:00
83,elonmusk,@AB84 😂💯,1732,150,2025-04-19 20:30:34+00:00
84,elonmusk,@WholeMarsBlog This is idiotic,6684,268,2025-04-19 20:29:30+00:00
85,elonmusk,@Guodzh 🚀,629,45,2025-04-19 20:28:55+00:00
86,elonmusk,"@WholeMarsBlog With @Neuralink interfacing directly to the visual cortex, even those who are completely blind will be able to see again.

Computer vision will be limited at first, like early computer graphics, but ultimately will exceed the best human eyes.",5148,755,2025-04-19 20:28:19+00:00
87,elonmusk,"@JonErlichman At any given point, a technology company can be driven to great success or terrible failure. Velocity of innovation defines the outcome.",1593,156,2025-04-19 20:23:29+00:00
88,elonmusk,"RT @Max33Verstappen: Let’s go!! Simply lovely that, well done everyone @redbullracing ☝️ bring on the race 👊 https://t.co/6D5SGYuOFF",0,6299,2025-04-19 20:07:13+00:00
89,elonmusk,@ada_lluch Where is the media outrage? They are such hypocrites!,5958,403,2025-04-19 19:44:20+00:00
90,elonmusk,@DC_Draino @realDonaldTrump @SecScottBessent Hmm,1952,201,2025-04-19 19:02:17+00:00
91,elonmusk,"RT @matteosalvinimi: 🇮🇹🇺🇸 An honor and a pleasure to meet my friend @JDVance, @VP of the United States, in Rome. Our countries share a deep…",0,3256,2025-04-19 18:35:54+00:00
92,elonmusk,"@iam_smx I’m thinking about important things, I swear 😂",1675,117,2025-04-19 17:27:13+00:00
93,elonmusk,"RT @cb_doge: Group Chat of Earth 
 https://t.co/1GAy69xaUi",0,1912,2025-04-19 17:26:20+00:00
94,elonmusk,This is the hard truth https://t.co/UavrvOiN9A,182059,36168,2025-04-19 17:26:08+00:00
95,elonmusk,@alx 🤔,1760,125,2025-04-19 17:22:02+00:00
96,elonmusk,@amuse @BernieSanders @SenSanders That’s what they say 🤔,1428,113,2025-04-19 17:20:42+00:00
97,elonmusk,@cb_doge So much has happened since then!,1904,124,2025-04-19 17:19:48+00:00
98,elonmusk,RT @nayibbukele: Human rights https://t.co/WLu8aenICM,0,10328,2025-04-19 17:19:09+00:00
